event,time,magnitude,e_magnitude,band,ra,dec,source,refs
2010bh,55271.99713426,20.21,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55272.00113426,19.91,0.11,z,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55272.01013426,20.04,0.01,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55272.12913426,20.45,0.03,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55272.99813426,20.09,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55273.55913426,20.03,0.03,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55273.99313426,19.96,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55274.42213426,19.87,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55275.02013426,20.53,0.01,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55275.02113426,19.4,0.01,z,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55275.02413426,19.77,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55275.02813426,19.44,0.01,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55276.53313426,19.14,0.02,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55276.53413426,19.47,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55276.53813426,19.64,0.02,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55276.99813426,20.22,0.01,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55277.00113426,19.15,0.01,z,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55277.00213426,19.46,0.01,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55277.00613426,19.12,0.01,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55278.59213426,20.25,0.05,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55278.61613426,19.49,0.03,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55279.42213426,19.33,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55279.47113426,20.14,0.03,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55279.48713426,19.48,0.02,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55280.46813426,19.47,0.02,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55280.50313426,19.04,0.01,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55280.60313426,19.29,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55281.48713426,20.13,0.03,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55281.50113426,19.47,0.03,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55282.49613426,20.19,0.06,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55282.54613426,19.33,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55283.51613426,19.32,0.04,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55287.55913426,19.12,0.03,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55287.57613426,19.49,0.04,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55288.51813426,21.18,0.07,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55288.52613426,19.91,0.04,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55288.53613426,19.18,0.02,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55288.55413426,19.52,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55289.39413426,21.3,0.05,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55289.43013426,19.96,0.02,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55290.48913426,19.27,0.05,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55290.54013426,20.03,0.07,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55291.45313426,19.71,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55291.47113426,19.34,0.02,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55291.48913426,21.44,0.13,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55294.50913426,19.83,0.02,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55294.52513426,21.83,0.11,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55294.54413426,19.55,0.03,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55294.56213426,20.29,0.04,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55297.47013426,20.61,0.04,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55297.48613426,21.88,0.16,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55297.48713426,20.07,0.03,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55297.50813426,19.59,0.05,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55301.47213426,20.54,0.04,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55302.50513426,22.27,0.1,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55305.42313426,20.26,0.08,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55305.43213426,20.83,0.04,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55305.44113426,22.09,0.14,B,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55306.95413426,21.16,0.06,V,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55308.43213426,21.08,0.07,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55308.54513426,20.63,0.08,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55309.51913426,21.2,0.13,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55317.45213426,21.36,0.08,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55317.98713426,20.85,0.07,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55320.39813426,21.45,0.07,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55320.92413426,20.99,0.06,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55326.38413426,21.57,0.07,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55328.41813426,21.2,0.09,i,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
2010bh,55328.88913426,21.64,0.07,R_c,,,2011ApJ...740...41C,"[{'name': 'Cano et al. (2011)', 'url': 'https://ui.adsabs.harvard.edu/abs/2011ApJ...740...41C/abstract'}]"
