Filename,Status,Reference
GRB060218-SN2006aj_Radio.txt,"Early, Late, Radio",https://ui.adsabs.harvard.edu/abs/2007ApJ...654..385K/abstract
GRB060218-SN2006aj_Radio1.txt,"Late, Radio",https://ui.adsabs.harvard.edu/abs/2019ApJ...872...28P/abstract
GRB060218-SN2006aj_IR.txt,"Early, IR",https://ui.adsabs.harvard.edu/abs/2007ApJ...663.1180K/abstract
GRB060218-SN2006aj_IR2.txt,"Early, IR",https://ui.adsabs.harvard.edu/abs/2007ApJ...663.1180K/abstract
GRB060218-SN2006aj_Optical.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2007ApJ...658L...5M/abstract
GRB060218-SN2006aj_Optical1.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2006A%26A...457..857F/abstract
GRB060218-SN2006aj_Optical2.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2006A%26A...454..503S/abstract
GRB060218-SN2006aj_Optical3.txt,"Early, Late, Optical",https://ui.adsabs.harvard.edu/abs/2006ApJ...645L.113C/abstract
GRB060218-SN2006aj_Optical4.txt,"Early, Optical",https://ui.adsabs.harvard.edu/abs/2006ApJ...643L..99M/abstract
GRB060218-SN2006aj_Optical5.txt,Optical,https://ui.adsabs.harvard.edu/abs/2006Natur.442.1011P/abstract